eid,state,job,ara,probsick
100005,"MA","sales",.0057,.038
100021,"MA","engineer",.007,.138
100044,"TX","engineer",.0082,.046
100052,"TX","engineer",.0056,.062
100054,"MA","sales",.006,.018
100078,"MA","sales",.0024,.121
100082,"MA","engineer",.007,.148
100088,"MA","engineer",.0083,.194
100099,"MA","sales",.0037,.062
100113,"TX","engineer",.0083,.046
100122,"MA","engineer",.0004,.012
100147,"MA","engineer",.0055,.051
100155,"TX","engineer",.0084,.045
100175,"MA","sales",.0031,.16
100190,"MA","sales",.0012,.091
100191,"MA","sales",.0021,.117
100202,"MA","engineer",.0069,.175
100224,"MA","sales",.001,.088
100233,"TX","engineer",.006,.06
100248,"MA","sales",.0059,.107
100272,"MA","sales",.0007,.088
100274,"TX","sales",.0164,.015
100276,"MA","engineer",.0069,.045
100277,"MA","engineer",.0055,.054
100279,"MA","sales",.0004,.031
100280,"MA","sales",.0068,.206
100292,"MA","sales",.0016,.175
100293,"MA","sales",.0039,.172
100309,"MA","sales",.0077,.145
100344,"MA","sales",.0074,.307
100345,"MA","engineer",.0021,.03
100349,"TX","engineer",.0088,.042
100364,"MA","sales",.0056,.26
100369,"TX","engineer",.0076,.049
100370,"MA","sales",.0043,.128
100409,"MA","sales",.0092,.273
100421,"MA","sales",.006,.034
100422,"TX","engineer",.004,.074
100428,"MA","sales",.0045,.301
100429,"MA","sales",.0066,.261
100461,"MA","sales",.0021,.072
100486,"MA","engineer",.0077,.169
100491,"MA","engineer",.0059,.066
100515,"MA","engineer",.0027,.135
100542,"MA","engineer",.0016,.013
100570,"MA","sales",.0044,.098
100571,"MA","engineer",.0053,.286
100581,"MA","sales",.0079,.187
100583,"MA","sales",.0033,.068
100585,"MA","engineer",.0008,.072
100606,"MA","sales",.0101,.308
100622,"MA","engineer",.0092,.248
100631,"MA","sales",.0024,.076
100657,"MA","sales",.0047,.096
100664,"MA","engineer",.0055,.274
100669,"MA","sales",.0044,.042
100678,"TX","engineer",.0074,.05
100682,"MA","sales",.0062,.017
100690,"MA","sales",.0042,.083
100703,"MA","sales",.0061,.127
100710,"TX","engineer",.0031,.082
100712,"MA","engineer",.005,.236
100717,"MA","engineer",.0063,.082
100730,"MA","sales",.0025,.042
100749,"MA","sales",.0017,.16
100754,"TX","engineer",.0015,.096
100759,"MA","sales",.0039,.224
100772,"TX","sales",.0007,.105
100793,"MA","engineer",.0036,.031
100797,"TX","sales",.001,.101
100807,"MA","engineer",.0057,.177
100826,"TX","engineer",.0116,.03
100850,"TX","engineer",.0035,.079
100860,"TX","sales",.0124,.027
100875,"MA","sales",.0056,.083
100881,"TX","engineer",.0121,.028
100901,"TX","sales",.0088,.043
100921,"MA","sales",.0046,.081
100941,"MA","sales",.0054,.164
100957,"MA","sales",.005,.014
100970,"MA","engineer",.0048,.026
101005,"MA","sales",.001,.057
101009,"MA","sales",.0068,.24
101013,"MA","sales",.0037,.11
101019,"MA","sales",.0032,.105
101031,"TX","engineer",.0045,.07
101066,"MA","sales",.0032,.18
101079,"MA","sales",.0064,.098
101081,"TX","engineer",.0164,.015
101085,"MA","sales",.0066,.012
101088,"TX","sales",.0099,.037
101089,"MA","sales",.0064,.042
101111,"TX","engineer",.004,.074
101122,"MA","engineer",.007,.112
101127,"MA","engineer",.0031,.216
101139,"MA","engineer",.0052,.322
101167,"TX","sales",.0112,.032
101180,"TX","engineer",.0013,.098
101193,"MA","engineer",.0072,.187
101195,"TX","engineer",.0066,.055
101209,"MA","sales",.0027,.058
101216,"TX","engineer",.0028,.084
101256,"TX","engineer",.0086,.044
101259,"MA","engineer",.0026,.039
101274,"MA","engineer",.0087,.236
101275,"MA","engineer",.0032,.039
101279,"TX","sales",.0028,.084
101281,"TX","engineer",.0023,.089
101290,"TX","engineer",.0082,.046
101321,"MA","engineer",.0037,.243
101326,"MA","sales",.0063,.187
101328,"MA","engineer",.0065,.325
101336,"MA","engineer",.0061,.215
101355,"TX","engineer",.0101,.037
101371,"MA","engineer",.0082,.187
101386,"MA","engineer",.0068,.187
101403,"MA","engineer",.0019,.096
101430,"MA","engineer",.0053,.229
101433,"TX","engineer",.0001,.112
101436,"TX","engineer",.0166,.015
101447,"MA","sales",.0052,.129
101468,"TX","engineer",.0062,.058
101473,"MA","sales",.0033,.211
101482,"TX","sales",.0088,.042
101484,"MA","sales",.005,.144
101488,"MA","engineer",.005,.185
101489,"MA","sales",.0031,.064
101550,"MA","sales",.0012,.053
101560,"MA","sales",.0056,.053
101601,"MA","sales",.0066,.047
101602,"TX","engineer",.0037,.077
101609,"TX","engineer",.007,.053
101610,"MA","engineer",.0017,.056
101615,"MA","engineer",.005,.042
101616,"MA","sales",.0044,.114
101629,"MA","sales",.0006,.037
101644,"MA","sales",.0054,.235
101654,"MA","sales",.0043,.014
101664,"MA","sales",.0057,.171
101666,"MA","sales",.0072,.242
101670,"TX","engineer",.0041,.073
101673,"TX","engineer",.0032,.081
101682,"MA","sales",.0041,.267
101704,"MA","engineer",.0081,.337
101731,"MA","engineer",.0059,.14
